n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points
512,512,0.9,0.2,1.6689300537109375e-05,True,37,0,256,256
512,512,0.9,0.3,1.2159347534179688e-05,True,19,0,256,256
512,512,0.9,0.4,0.760329008102417,True,4,0,121,135
512,512,0.9,0.5,0.7453513145446777,True,1,0,123,133
512,512,0.9,0.6,1.117143154144287,True,1,0,60,68
512,1024,0.9,0.2,1.1682510375976562e-05,True,81,0,256,256
512,1024,0.9,0.3,1.0251998901367188e-05,True,25,0,256,256
512,1024,0.9,0.4,1.2917020320892334,True,7,0,136,120
512,1024,0.9,0.5,1.579869270324707,True,7,0,128,128
512,1024,0.9,0.6,2.309347152709961,True,0,0,64,64
512,2048,0.9,0.2,1.2636184692382812e-05,True,163,0,256,256
512,2048,0.9,0.3,1.1444091796875e-05,True,73,0,256,256
512,2048,0.9,0.4,2.7693233489990234,True,20,0,139,117
512,2048,0.9,0.5,3.156805992126465,True,16,0,121,135
512,2048,0.9,0.6,4.463320255279541,True,0,0,70,58
512,4096,0.9,0.2,2.288818359375e-05,True,319,0,256,256
512,4096,0.9,0.3,1.2636184692382812e-05,True,122,0,256,256
512,4096,0.9,0.4,5.771065711975098,True,39,0,120,136
512,4096,0.9,0.5,6.228644371032715,True,29,0,121,135
512,4096,0.9,0.6,9.12696647644043,True,9,0,62,66
1024,512,0.9,0.2,3.125899076461792,True,45,0,254,258
1024,512,0.9,0.3,2.8377456665039062,True,14,0,271,241
1024,512,0.9,0.4,4.10819149017334,True,4,0,137,119
1024,512,0.9,0.5,4.4387617111206055,True,1,0,127,129
1024,512,0.9,0.6,5.395758152008057,True,2,0,73,55
1024,1024,0.9,0.2,5.959407091140747,True,92,0,275,237
1024,1024,0.9,0.3,5.940516948699951,True,39,0,243,269
1024,1024,0.9,0.4,8.450800657272339,True,13,0,131,125
1024,1024,0.9,0.5,9.202613353729248,True,3,0,118,138
1024,1024,0.9,0.6,10.10744047164917,True,1,0,58,70
1024,2048,0.9,0.2,10.734378576278687,True,146,0,265,247
1024,2048,0.9,0.3,12.248778343200684,True,72,0,265,247
1024,2048,0.9,0.4,16.59076738357544,True,30,0,120,136
1024,2048,0.9,0.5,16.53545880317688,True,9,0,131,125
1024,2048,0.9,0.6,20.853840589523315,True,6,0,63,65
1024,4096,0.9,0.2,22.755289554595947,True,324,0,254,258
1024,4096,0.9,0.3,23.216819763183594,True,143,0,258,254
1024,4096,0.9,0.4,33.60446500778198,True,59,0,124,132
1024,4096,0.9,0.5,33.352601051330566,True,22,0,136,120
1024,4096,0.9,0.6,40.61497187614441,True,7,0,61,67
2048,512,0.9,0.2,15.29268765449524,True,30,0,273,239
2048,512,0.9,0.3,18.009779930114746,True,25,0,259,253
2048,512,0.9,0.4,19.273748874664307,True,6,0,139,117
2048,512,0.9,0.5,21.166287183761597,True,3,0,141,115
2048,512,0.9,0.6,19.61835503578186,True,0,0,64,64
2048,1024,0.9,0.2,35.28897786140442,True,84,0,236,276
2048,1024,0.9,0.3,35.54825210571289,True,43,0,259,253
2048,1024,0.9,0.4,41.291208267211914,True,12,0,131,125
2048,1024,0.9,0.5,42.81451773643494,True,9,0,131,125
2048,1024,0.9,0.6,42.88743996620178,True,2,0,55,73
2048,2048,0.9,0.2,65.89773368835449,True,166,0,262,250
2048,2048,0.9,0.3,67.00643682479858,True,78,0,251,261
2048,2048,0.9,0.4,76.4392626285553,True,25,0,128,128
2048,2048,0.9,0.5,77.71829986572266,True,12,0,130,126
2048,4096,0.9,0.2,128.46001386642456,True,289,0,265,247
2048,4096,0.9,0.3,135.73929500579834,True,146,0,266,246
2048,4096,0.9,0.4,151.79483366012573,True,70,0,124,132
2048,4096,0.9,0.5,162.47580766677856,True,18,0,129,127
4096,512,0.9,0.2,78.46113562583923,True,46,0,254,258
4096,512,0.9,0.3,76.27327132225037,True,19,0,267,245
4096,512,0.9,0.4,82.74990129470825,True,7,0,120,136
4096,512,0.9,0.5,87.79231762886047,True,5,0,128,128
4096,1024,0.9,0.2,161.48845291137695,True,85,0,255,257
4096,1024,0.9,0.3,168.7473611831665,True,37,0,265,247
4096,1024,0.9,0.4,164.4655623435974,True,15,0,137,119
4096,1024,0.9,0.5,159.05453252792358,True,6,0,133,123
4096,2048,0.9,0.2,315.8231906890869,True,164,0,245,267
4096,2048,0.9,0.3,319.4201509952545,True,74,0,259,253
4096,2048,0.9,0.4,329.55477714538574,True,28,0,119,137
4096,2048,0.9,0.5,345.4355959892273,True,14,0,130,126
4096,4096,0.9,0.2,589.2759549617767,True,283,0,260,252
4096,4096,0.9,0.3,622.7382724285126,True,141,0,253,259
4096,4096,0.9,0.4,665.4113218784332,True,57,0,120,136
4096,4096,0.9,0.5,690.4119575023651,True,27,0,126,130
2048,2048,0.9,0.6,80.38042187690735,True,3,0,63,65
2048,4096,0.9,0.6,173.56588435173035,True,9,0,61,67
4096,512,0.9,0.6,91.20043110847473,False,2,0,59,69
4096,1024,0.9,0.6,181.24795985221863,False,4,0,67,61
4096,2048,0.9,0.6,346.0138611793518,False,6,0,65,63
4096,4096,0.9,0.6,708.9511618614197,False,9,0,67,61
