n,m,time,success,red_points,blue_points,k,ratios,color_counts,dim
8192,762,3.83750057220459,True,183,177,2,"[0.5, 0.5]","[183, 177]",4
8192,652,3.3917508125305176,True,539,529,2,"[0.5, 0.5]","[539, 529]",8
8192,605,3.1749846935272217,True,622,602,2,"[0.5, 0.5]","[622, 602]",16
8192,545,2.679806709289551,True,1195,1181,2,"[0.5, 0.5]","[1195, 1181]",32
16384,762,9.898356199264526,True,182,178,2,"[0.5, 0.5]","[182, 178]",4
16384,649,7.491642951965332,True,530,538,2,"[0.5, 0.5]","[530, 538]",8
16384,570,6.861573219299316,True,614,610,2,"[0.5, 0.5]","[614, 610]",16
16384,547,6.022183895111084,True,1184,1192,2,"[0.5, 0.5]","[1184, 1192]",32
32768,764,25.37513566017151,True,177,183,2,"[0.5, 0.5]","[177, 183]",4
32768,652,20.385571479797363,True,327,321,2,"[0.5, 0.5]","[327, 321]",8
32768,559,16.15532398223877,True,613,611,2,"[0.5, 0.5]","[613, 611]",16
32768,520,15.301743507385254,True,1183,1193,2,"[0.5, 0.5]","[1183, 1193]",32
65536,782,59.28912305831909,True,181,179,2,"[0.5, 0.5]","[181, 179]",4
65536,619,40.53624987602234,True,327,321,2,"[0.5, 0.5]","[327, 321]",8
65536,588,39.9702582359314,True,608,616,2,"[0.5, 0.5]","[608, 616]",16
65536,590,42.31568241119385,True,1181,1195,2,"[0.5, 0.5]","[1181, 1195]",32
131072,731,85.76985430717468,True,177,183,2,"[0.5, 0.5]","[177, 183]",4
131072,663,75.01616072654724,True,323,325,2,"[0.5, 0.5]","[323, 325]",8
131072,579,67.36643767356873,True,614,610,2,"[0.5, 0.5]","[614, 610]",16
131072,537,64.62867379188538,True,1205,1171,2,"[0.5, 0.5]","[1205, 1171]",32
