n,m,time,success,red_points,blue_points,k,ratios,color_counts
8192,1010,1.3175475597381592,True,4070,4228,2,"[0.5, 0.5]","[4070, 4228]"
8192,1006,1.362318754196167,True,4768,3270,2,"[0.6, 0.4]","[4768, 3270]"
8192,1009,1.3228676319122314,True,5726,2436,2,"[0.7, 0.3]","[5726, 2436]"
8192,1004,1.1715142726898193,True,6182,1554,2,"[0.8, 0.2]","[6182, 1554]"
8192,1008,1.4576027393341064,True,1755,1702,4,"[0.25, 0.25, 0.25, 0.25]","[1755, 1702, 1715, 1796]"
8192,999,2.0302555561065674,True,1193,1188,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[1193, 1188, 1233, 1236, 1257, 1252, 1204, 1269]"
8192,1004,2.1372411251068115,True,821,805,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[821, 805, 792, 848, 845, 794, 828, 862, 851, 829, 853, 828, 814, 803, 842, 849]"
16384,1013,2.5467689037323,True,4028,4010,2,"[0.5, 0.5]","[4028, 4010]"
16384,1019,2.7067184448242188,True,4927,3354,2,"[0.6, 0.4]","[4927, 3354]"
16384,1014,3.6653380393981934,True,5489,2382,2,"[0.7, 0.3]","[5489, 2382]"
16384,1014,3.133319854736328,True,6990,1719,2,"[0.8, 0.2]","[6990, 1719]"
16384,1011,2.9425504207611084,True,1953,1994,4,"[0.25, 0.25, 0.25, 0.25]","[1953, 1994, 1945, 1960]"
16384,1014,3.0242397785186768,True,1331,1342,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[1331, 1342, 1334, 1340, 1324, 1270, 1288, 1275]"
16384,1007,7.288356781005859,True,777,749,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[777, 749, 839, 795, 832, 795, 782, 777, 799, 795, 796, 800, 790, 803, 788, 803]"
32768,1020,6.6620261669158936,True,3797,3769,2,"[0.5, 0.5]","[3797, 3769]"
32768,1016,6.530454397201538,True,4643,3095,2,"[0.6, 0.4]","[4643, 3095]"
32768,1016,5.281170129776001,True,5254,2340,2,"[0.7, 0.3]","[5254, 2340]"
32768,1018,6.822118520736694,True,6081,1574,2,"[0.8, 0.2]","[6081, 1574]"
32768,1013,7.846455335617065,True,2150,2067,4,"[0.25, 0.25, 0.25, 0.25]","[2150, 2067, 2105, 2090]"
32768,1016,7.776434898376465,True,1330,1393,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[1330, 1393, 1413, 1440, 1373, 1406, 1362, 1443]"
32768,1017,10.966050148010254,True,814,853,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[814, 853, 796, 826, 832, 844, 782, 850, 845, 814, 806, 891, 805, 793, 826, 823]"
65536,1019,13.510431051254272,True,3672,3566,2,"[0.5, 0.5]","[3672, 3566]"
65536,1022,13.036887884140015,True,4624,3043,2,"[0.6, 0.4]","[4624, 3043]"
65536,1021,13.26982593536377,True,5583,2331,2,"[0.7, 0.3]","[5583, 2331]"
65536,1023,13.538019895553589,True,6417,1585,2,"[0.8, 0.2]","[6417, 1585]"
65536,1024,16.416683435440063,True,1848,1849,4,"[0.25, 0.25, 0.25, 0.25]","[1848, 1849, 1839, 1944]"
65536,1022,24.951035499572754,True,1173,1246,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[1173, 1246, 1190, 1215, 1259, 1146, 1243, 1280]"
65536,1017,44.24519729614258,True,750,788,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[750, 788, 876, 803, 779, 803, 756, 761, 771, 804, 790, 810, 789, 818, 794, 828]"
131072,1021,25.30141282081604,True,3908,3920,2,"[0.5, 0.5]","[3908, 3920]"
131072,1024,29.887624263763428,True,4549,3044,2,"[0.6, 0.4]","[4549, 3044]"
131072,1021,30.970752954483032,True,5565,2381,2,"[0.7, 0.3]","[5565, 2381]"
131072,1023,29.336902141571045,True,6733,1678,2,"[0.8, 0.2]","[6733, 1678]"
131072,1019,28.05655312538147,True,2004,1906,4,"[0.25, 0.25, 0.25, 0.25]","[2004, 1906, 1953, 1877]"
131072,1023,42.86125421524048,True,1246,1218,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[1246, 1218, 1252, 1366, 1257, 1299, 1260, 1238]"
131072,1018,54.026127099990845,True,841,763,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[841, 763, 771, 730, 738, 799, 794, 836, 792, 787, 802, 780, 755, 712, 752, 748]"
